game_name,release_name,package_name,version_code,last_updated,vrsrc_md5
10 Seconds,10 Seconds v3+1.0 -VRP v76,com.ZynkSoftware.SecondsMatter,3,2025-04-29 15:55 UTC,a7939399f9618f1858af954c5d576568
100 Day Siege,100 Day Siege v13+0.1.3 -VRP v76,com.foundrysix.siege.metaquest,13,2025-05-01 11:26 UTC,149586d02ffd632f2632f39bca76269b
10k Science,10k Science v275+1.2.41p15 -JF,com.Dynamoid.l0k,275,2026-04-14 18:15 UTC,836bd36f2de7bf11ed4bb2c9aa73c07a
17 Seconds,17 Seconds v2+1.0 -VRP,com.xsgames.seventeenseconds,2,2025-09-21 14:42 UTC,c27e4a47afe298c72f7a7b2eb5daf6fe
1976,1976 v18+1.34 -VRP v76,com.IvanovichGames.game1976,18,2025-05-01 11:26 UTC,3f6b852b4438b829cc77509269d54c15
2048 World,2048 World v1+0.1 -VRP v76,com.DonCarrot.World2024,1,2025-08-02 04:44 UTC,d0a300ca398828c92b63fb997814e9b3
2048 World (MR-Fix),2048 World (MR-Fix) v1+0.1 -VRP v76,com.mrf.DonCarrot.World2024,1,2025-08-02 04:45 UTC,a9a55df6e9f21cd661a3245533cca6b5
2076 Midway Multiverse,2076 Midway Multiverse v40+1.5 -VRP v76,com.IvanovichGames.game2076demo,40,2025-05-01 11:26 UTC,2250d5f6e7fc0764f0d51b94d7536d1b
2MD- VR Football Unleashed ALLSTAR,2MD- VR Football Unleashed ALLSTAR v300027+1.8 -VRP v76,com.truantpixel.twomdquest,300027,2025-05-01 11:27 UTC,45f0a6ea7b76f912001b354238a290ba
360 World Explorer,360 World Explorer v1009+1.2.1009 -JF,io.simulatedreality.worldexplorer,1009,2026-04-14 18:15 UTC,5e315240a2cc71097bf709fc2f201ec3
3D Stunt Bike Extreme Rush VR Ride,3D Stunt Bike Extreme Rush VR Ride v2+0.2 -VRP,com.horizonhub.stuntbike.extremerush.vrride,2,2026-01-28 04:33 UTC,c091394539702b67115eaf6f5bbb7a1b
4XVR Video Player (Pro + Trial Bypass),4XVR Video Player (Pro + Trial Bypass) v11026+1.10.26 -VRP,cn.vr4p.oculus4xvrplayerov,11026,2026-01-28 04:31 UTC,08a660ce6495b501f9e3626ada65b823
51 Aliens TV,51 Aliens TV v6+0.51 -VRP v76,com.fiftyonealiens.fiftyonealienstvquest,6,2025-05-01 11:27 UTC,ce01bbfabcd6b52d3df67c6e601a8196
8 Ball Pool,8 Ball Pool v20+1.0 -VRP v76,com.sharpforkslabs.billiards,20,2025-05-26 08:54 UTC,eca2e926f001b3114f7e95ab1b0c5e03
9 Ball Pool VRX,9 Ball Pool VRX v1+1.0.0 -VRP v76,com.abstron.nine.ball.pool.vrx,1,2025-05-01 11:26 UTC,80e79a9266b45812b94222089f3beee8
99 DROPS,99 DROPS v89+1.0.089 -VRP,com.UNIVRS.Faye,89,2025-08-23 14:43 UTC,fc5c3c3393b5bf8705492383155bbe77
A Black Climbing Dog,A Black Climbing Dog v27+0.0.27 -VRP,com.team9.abcdlite,27,2026-01-25 10:06 UTC,6be91f9dd2ba1592e976562764930a2e
A Fishermans Tale,A Fishermans Tale v25+1.087 -VRP v76,com.innerspacevr.afishermanstale,25,2025-05-03 15:58 UTC,8dae3011ab75334836337a428d1d0a32
A Fishermans Tale 2,A Fishermans Tale 2 v59+1.086 -VRP v76,com.innerspacevr.theseus,59,2025-05-02 07:07 UTC,1a4483cd75a78d7e71e6ec4bedd324e8
A Knight in the Attic,A Knight in the Attic v119+.119 -VRP v76,com.MightyYellStudios.WobblyKnightMaster,119,2025-05-02 07:07 UTC,4394d1ee42e959309c9896501d4296cf
A little journey,A little journey v200006+1 -VRP v76,com.EGames.Alittlejourney,200006,2025-05-02 07:08 UTC,0f7c9c5fb9472270709343e699590fc8
